506,155,27,51
505,159,27,51
504,158,27,51
498,157,27,51
497,161,27,51
496,160,27,51
495,164,27,51
489,163,27,51
488,162,27,51
482,166,27,51
476,165,27,51
470,164,27,51
459,168,27,51
458,167,27,51
452,166,27,51
446,165,27,51
430,159,27,51
429,158,27,51
428,157,27,51
412,156,27,51
411,155,27,51
410,154,27,51
399,163,27,51
398,162,27,51
392,161,27,51
396,160,27,51
395,159,27,51
389,163,27,51
393,162,27,51
397,161,27,51
386,165,27,51
400,189,27,51
404,193,27,51
408,192,27,51
407,191,27,51
406,190,27,51
405,189,27,51
409,188,27,51
408,187,27,51
407,186,27,51
411,190,27,51
410,184,27,51
409,178,27,51
408,182,27,51
407,191,27,51
411,185,27,51
410,184,27,51
409,188,27,51
408,192,27,51
412,181,27,51
411,180,27,51
410,184,27,51
409,188,27,51
408,182,27,51
412,156,27,51
411,180,27,51
410,189,27,51
409,188,27,51
408,187,27,51
407,186,27,51
406,185,27,51
410,189,27,51
409,183,27,51
408,187,27,51
407,186,27,51
406,190,27,51
410,184,27,51
409,193,27,51
408,192,27,51
407,191,27,51
411,190,27,51
410,189,27,51
409,188,27,51
408,192,27,51
407,191,27,51
411,190,27,51
410,189,27,51
409,193,27,51
408,192,27,51
407,191,27,51
411,190,27,51
410,189,27,51
409,188,27,51
408,192,27,51
412,191,27,51
411,190,27,51
410,189,27,51
409,193,27,51
408,192,27,51
412,191,27,51
411,190,27,51
410,189,27,51
409,193,27,51
408,187,27,51
412,161,27,51
396,160,27,51
395,164,27,51
389,163,27,51
413,162,27,51
412,161,27,51
421,185,27,51
425,184,27,51
424,183,27,51
423,182,27,51
407,191,27,51
406,190,27,51
405,199,27,51
419,193,27,51
423,187,27,51
437,206,27,51
436,200,27,51
440,199,27,51
424,183,27,51
423,182,27,51
422,181,27,51
411,190,27,51
410,189,27,51
414,178,27,51
413,177,27,51
412,176,27,51
411,180,27,51
415,179,27,51
414,178,27,51
413,182,27,51
412,186,27,51
411,190,27,51
415,184,27,51
414,183,27,51
413,187,27,51
412,186,27,51
411,190,27,51
410,189,27,51
409,188,27,51
413,187,27,51
412,181,27,51
411,185,27,51
410,189,27,51
409,193,27,51
408,197,27,51
412,191,27,51
411,190,27,51
410,194,27,51
409,193,27,51
413,192,27,51
412,191,27,51
436,195,27,51
410,194,27,51
404,198,27,51
408,192,27,51
407,191,27,51
411,190,27,51
410,189,27,51
409,193,27,51
408,192,27,51
422,186,27,51
411,185,27,51
410,194,27,51
434,198,27,51
438,202,27,51
437,201,27,51
411,190,27,51
435,199,27,51
439,203,27,51
438,202,27,51
412,191,27,51
411,190,27,51
410,194,27,51
409,193,27,51
413,187,27,51
437,201,27,51
436,200,27,51
410,189,27,51
409,193,27,51
408,197,27,51
407,201,27,51
406,200,27,51
410,194,27,51
434,198,27,51
413,187,27,51
412,186,27,51
436,195,27,51
435,194,27,51
434,198,27,51
438,197,27,51
437,196,27,51
436,195,27,51
435,194,27,51
434,198,27,51
413,187,27,51
412,186,27,51
436,195,27,51
435,194,27,51
434,198,27,51
433,197,27,51
437,196,27,51
436,195,27,51
435,194,27,51
