708,266
697,260
691,259
685,258
674,257
668,256
662,250
656,249
650,248
644,247
638,241
632,240
626,239
625,238
614,232
613,226
607,225
606,224
605,223
604,217
598,216
597,215
591,214
590,208
584,207
583,206
582,200
581,199
580,198
574,192
573,191
572,190
566,189
565,188
564,187
563,186
562,180
561,179
560,178
559,177
563,176
562,170
566,169
565,168
569,167
568,166
572,160
571,159
575,158
574,157
578,156
582,155
581,154
585,153
589,147
588,146
592,145
596,144
595,143
604,137
603,136
607,140
611,134
615,133
614,132
618,131
622,130
626,129
625,128
629,127
633,126
637,125
641,124
640,123
644,122
648,121
652,120
656,119
660,118
659,117
663,116
667,110
671,114
670,113
674,112
678,111
682,110
681,109
685,108
689,107
688,106
692,110
696,109
695,108
699,107
698,111
697,110
701,109
705,108
704,107
703,111
702,110
706,109
705,113
704,112
703,111
697,115
696,114
690,113
689,112
683,111
677,110
676,109
675,108
674,107
673,106
672,105
676,104
680,103
679,102
643,121
642,120
636,124
635,123
629,122
