749,244
746,251
748,243
745,250
747,247
769,259
741,251
768,263
775,265
773,263
771,261
771,266
768,253
771,266
760,290
777,277
770,290
772,302
779,284
776,271
768,298
765,300
777,287
794,314
776,286
773,298
775,285
772,287
774,289
771,286
773,303
770,305
767,297
769,294
771,301
763,303
750,330
752,332
754,339
756,311
743,338
720,345
742,322
734,349
726,326
703,318
680,315
652,327
654,304
651,321
658,348
660,365
662,362
664,364
661,361
668,353
665,360
662,362
659,354
661,361
663,363
660,360
662,367
664,364
661,361
668,368
665,360
667,332
664,359
661,361
663,358
660,330
662,357
664,359
661,366
663,358
665,360
662,362
659,359
661,361
668,363
670,360
667,362
664,359
661,356
663,363
665,360
662,362
669,359
666,361
663,363
670,370
657,342
669,314
661,311
688,323
660,345
667,362
664,359
656,346
663,363
670,360
667,362
654,369
656,371
663,373
665,360
652,367
654,364
656,371
653,368
655,365
662,362
654,369
661,361
663,363
670,375
662,362
664,359
661,361
663,363
665,360
662,362
664,359
661,361
653,368
655,365
652,367
654,369
651,366
663,358
655,370
652,367
654,374
656,366
653,368
655,370
647,397
654,369
661,361
653,368
645,370
652,372
644,394
656,371
653,373
655,370
647,397
654,369
661,366
663,378
660,380
647,367
654,369
656,371
658,373
650,375
652,372
654,374
651,396
653,393
655,375
652,367
654,374
651,396
653,398
655,380
652,372
649,374
661,361
668,358
655,375
662,347
664,359
661,336
653,363
655,370
657,372
654,369
661,356
658,373
655,345
672,357
669,359
671,361
663,358
665,360
687,332
669,359
661,361
683,378
670,355
672,357
669,359
661,361
683,378
665,360
662,357
674,354
681,351
